data,method1,method2,clustering,criteria,rank,value,methods
TCGA,DAE,DAE,K-Means,ARI,2,1.0,DAE:DAE
TCGA,DAE,DAE,K-Means,ARI,5,1.0,DAE:DAE
TCGA,DAE,DAE,K-Means,ARI,10,1.0,DAE:DAE
TCGA,DAE,DAE,K-Means,MI,2,1.0,DAE:DAE
TCGA,DAE,DAE,K-Means,MI,5,1.0,DAE:DAE
TCGA,DAE,DAE,K-Means,MI,10,1.0,DAE:DAE
TCGA,DAE,DAE,K-Means,Fowlkes Mallows,2,1.0,DAE:DAE
TCGA,DAE,DAE,K-Means,Fowlkes Mallows,5,1.0,DAE:DAE
TCGA,DAE,DAE,K-Means,Fowlkes Mallows,10,1.0,DAE:DAE
TCGA,DAE,DAE,K-Means,V Measure,2,1.0,DAE:DAE
TCGA,DAE,DAE,K-Means,V Measure,5,1.0,DAE:DAE
TCGA,DAE,DAE,K-Means,V Measure,10,1.0,DAE:DAE
TCGA,DAE,DAE,HC,ARI,2,1.0,DAE:DAE
TCGA,DAE,DAE,HC,ARI,5,1.0,DAE:DAE
TCGA,DAE,DAE,HC,ARI,10,1.0,DAE:DAE
TCGA,DAE,DAE,HC,MI,2,1.0,DAE:DAE
TCGA,DAE,DAE,HC,MI,5,1.0,DAE:DAE
TCGA,DAE,DAE,HC,MI,10,1.0,DAE:DAE
TCGA,DAE,DAE,HC,Fowlkes Mallows,2,1.0,DAE:DAE
TCGA,DAE,DAE,HC,Fowlkes Mallows,5,1.0,DAE:DAE
TCGA,DAE,DAE,HC,Fowlkes Mallows,10,1.0,DAE:DAE
TCGA,DAE,DAE,HC,V Measure,2,1.0,DAE:DAE
TCGA,DAE,DAE,HC,V Measure,5,1.0,DAE:DAE
TCGA,DAE,DAE,HC,V Measure,10,1.0,DAE:DAE
TCGA,DAE,Isomap,K-Means,ARI,2,0.2618027426952519,DAE:Isomap
TCGA,DAE,Isomap,K-Means,ARI,5,0.25263838537174765,DAE:Isomap
TCGA,DAE,Isomap,K-Means,ARI,10,0.2724608174419183,DAE:Isomap
TCGA,DAE,Isomap,K-Means,MI,2,0.3592214241807335,DAE:Isomap
TCGA,DAE,Isomap,K-Means,MI,5,0.3488827379431353,DAE:Isomap
TCGA,DAE,Isomap,K-Means,MI,10,0.3640232320328313,DAE:Isomap
